time,desired_x,desired_y,desired_z,actual_x,actual_y,actual_z,error_x,error_y,error_z,error_norm
0.17,-0.04263637759430703,-0.7,0.04898142182134384,-0.04030947776625727,-0.7000980285836778,0.08464734167551072,0.002326899828049761,-9.802858367780054e-05,0.03566591985416688,0.0357418789581193
0.171,-0.042628315884899765,-0.7,0.04898588627025867,-0.04035135052358374,-0.6999515064992825,0.08476042506583942,0.0022769653613160246,4.849350071745029e-05,0.03577453879558075,0.03584696010699871
0.17200000000000001,-0.042620253708020715,-0.7,0.04899034987492877,-0.04039434144720632,-0.6997763506549551,0.08484485152547674,0.0022259122608143944,0.00022364934504481848,0.035854501650547974,0.035924225712345284
0.17300000000000001,-0.04261219106375828,-0.7,0.04899481263530524,-0.0404411700298393,-0.6996364462708794,0.0849580422531898,0.002171021033918974,0.00036355372912055817,0.03596322961788456,0.0360305341091742
0.17400000000000002,-0.042604127952200886,-0.7,0.04899927455133908,-0.04048904109229787,-0.6994679082915628,0.08504271231825714,0.002115086859903019,0.0005320917084371546,0.036043437766918054,0.03610936332959662
0.17500000000000002,-0.04259606437343694,-0.7,0.04900373562298141,-0.04054078521213617,-0.6993346370970493,0.08515597625990406,0.0020552791613007645,0.0006653629029506059,0.036152240636922656,0.03621672794846963
0.176,-0.04258800032755488,-0.7,0.049008195850183275,-0.04059348613199787,-0.699172737336496,0.0852408650622055,0.001994514195557011,0.0008272626635039693,0.03623266921202223,0.03629695260787784
0.177,-0.04257993581464314,-0.7,0.04901265523289579,-0.04065010622199434,-0.6990461139111556,0.0853541673172068,0.001929829592648799,0.0009538860888443912,0.03634151208431101,0.036405214482286424
0.178,-0.04257187083479015,-0.7,0.049017113771070014,-0.0407075864887744,-0.6988908734621913,0.08543925100172238,0.0018642843460157515,0.0011091265378087023,0.036422137230652366,0.03648667973724307
0.179,-0.042563805388084366,-0.7,0.04902157146465709,-0.04076904452238589,-0.6987709127148582,0.08555255486776107,0.0017947608656984776,0.0012290872851417056,0.036530983403103984,0.036595690600361656
0.18,-0.04255573947461422,-0.7,0.049026028313608125,-0.04083124770073835,-0.6986223629812451,0.08563781739980474,0.0017244917738758678,0.0013776370187548181,0.03661178908619661,0.03667826135091131
0.181,-0.04254767309446817,-0.7,0.04903048431787424,-0.040897358343894026,-0.6985086776339317,0.08575081556463904,0.0016503147505741445,0.001491322366068304,0.0367203312467648,0.03678763797864208
0.182,-0.042539606247734674,-0.7,0.04903493947740657,-0.04096407463786911,-0.698366692028709,0.0858362076302589,0.0015755316098655658,0.0016333079712909093,0.036801268152852326,0.036871172105601834
0.183,-0.0425315389345022,-0.7,0.04903939379215626,-0.041034586449538904,-0.6982586361829464,0.08594838691317143,0.0014969524849632945,0.0017413638170535872,0.03690899312101517,0.036980359488419344
0.184,-0.042523471154859195,-0.7,0.04904384726207445,-0.04110557087978516,-0.6981229146821761,0.08603374926100053,0.0014179002750740327,0.0018770853178238234,0.036989901998926086,0.03706462923557446
0.185,-0.04251540290889416,-0.7,0.04904829988711232,-0.041180320875268704,-0.6980198913652546,0.08614459250432104,0.001335082033625458,0.0019801086347454033,0.03709629261720872,0.03717308435122753
0.186,-0.042507334196695556,-0.7,0.04905275166722105,-0.041255523239097355,-0.6978905497170331,0.08622988383267252,0.0012518109575982012,0.0021094502829668293,0.037177132165451474,0.037257965151324596
0.187,-0.042499265018351884,-0.7,0.04905720260235179,-0.04133444793483336,-0.6977916546950705,0.08633818446570424,0.001164817083518524,0.0022083453049294155,0.03728098186335245,0.03736449111816558
0.188,-0.04249119537395161,-0.7,0.04906165269245576,-0.04141381639410782,-0.6976689438021626,0.08642295398154735,0.0010773789798437863,0.0023310561978373556,0.0373613012890916,0.037449451297421735
0.189,-0.04248312526358324,-0.7,0.04906610193748412,-0.041496760914718954,-0.6975722848293598,0.08652580762222455,0.0009863643488642881,0.00242771517064011,0.03745970568474043,0.03755124852206436
0.19,-0.04247505468733527,-0.7,0.049070550337388136,-0.04157978939276259,-0.6974558577641619,0.0866084447348258,0.000895265294572678,0.0025441422358380983,0.03753789439743767,0.037634660559875174
