time,joint_positions
0.11800000000000001,"array('d', [-1.8397478831333713, 1.3770584968043926, -2.0357281085531045, 2.2657866198999277, 1.7181041716768815, 1.2792219416446071])"
0.11900000000000001,"array('d', [-1.8385045677279237, 1.3779764594234563, -2.0358749049112186, 2.2648083052774286, 1.7161654162718387, 1.2806968407157315])"
0.12,"array('d', [-1.8372627786294986, 1.3788916741641826, -2.036021537995645, 2.2638275008455375, 1.7142437875211256, 1.2821688751916671])"
0.121,"array('d', [-1.8360225639638512, 1.379804022594977, -2.0361680789921093, 2.26284447992504, 1.7123390121585125, 1.2836379659359283])"
0.122,"array('d', [-1.8347839687284622, 1.3807133871931834, -2.0363145999137227, 2.2618595147969156, 1.710450826409368, 1.285104038013284])"
0.123,"array('d', [-1.8335470348877565, 1.3816196512843866, -2.0364611736181866, 2.2608728768524773, 1.7085789758773777, 1.2865670205861897])"
0.124,"array('d', [-1.8323118014675885, 1.3825226989838908, -2.0366078738214877, 2.2598848367380135, 1.7067232154363228, 1.2880268468125051])"
0.125,"array('d', [-1.8310783046490768, 1.3834224151404084, -2.036754775108106, 2.2588956644939797, 1.7048833091266784, 1.289483453744455])"
0.126,"array('d', [-1.8298465778618735, 1.3843186852819953, -2.0369019529377597, 2.2579056296887634, 1.7030590300567376, 1.290936782228782])"
0.127,"array('d', [-1.8286166518769504, 1.3852113955642766, -2.037049483648698, 2.256915001547023, 1.701250160307932, 1.2923867768080346])"
0.128,"array('d', [-1.8273885548989846, 1.386100432721007, -2.0371974444575427, 2.255924049072581, 1.699456490843977, 1.2938333856229272])"
0.129,"array('d', [-1.8261623126584252, 1.386985684017017, -2.0373459134556797, 2.2549330411658177, 1.6976778214234391, 1.295276560315705])"
0.13,"array('d', [-1.8249379485033195, 1.387867037203601, -2.0374949696021876, 2.2539422467355092, 1.6959139605152855, 1.296716255934439])"
0.131,"array('d', [-1.8237154834909775, 1.3887443804764028, -2.037644692713293, 2.2529519348050067, 1.6941647252169543, 1.2981524308381729])"
0.132,"array('d', [-1.82249493647955, 1.3896176024358622, -2.0377951634483304, 2.251962374612654, 1.6924299411744497, 1.299585046602845])"
0.133,"array('d', [-1.8212763242195928, 1.390486592050289, -2.037946463292182, 2.2509738357063065, 1.6907094425039508, 1.3010140679278939])"
0.134,"array('d', [-1.8200596614456879, 1.3913512386216331, -2.038098674534177, 2.2499865880318004, 1.6890030717143938, 1.3024394625434672])"
0.135,"array('d', [-1.818844960968187, 1.392211431754023, -2.0382518802434157, 2.2490009020151995, 1.6873106796304749, 1.3038612011181376])"
0.136,"array('d', [-1.8176322337651432, 1.3930670613251455, -2.0384061642404903, 2.2480170486386295, 1.6856321253155013, 1.3052792571670384])"
0.137,"array('d', [-1.816421489074488, 1.3939180174605474, -2.0385616110655715, 2.247035299509491, 1.6839672759935045, 1.3066936069603226])"
0.138,"array('d', [-1.8152127344865083, 1.394764190510936, -2.038718305942831, 2.2460559269228297, 1.682316006970016, 1.3081042294318528])"
0.139,"array('d', [-1.8140059760366745, 1.3956054710325585, -2.0388763347411665, 2.2450792039166227, 1.6806782015509023, 1.3095111060880251])"
0.14,"array('d', [-1.8128012182988642, 1.3964417497707422, -2.039035783931205, 2.2441054043197273, 1.6790537509586403, 1.3109142209166325])"
0.14100000000000001,"array('d', [-1.81159846447902, 1.3972729176466785, -2.039196740538557, 2.243134802792232, 1.6774425542454174, 1.3123135602956713])"
0.14200000000000002,"array('d', [-1.810397716509274, 1.3980988657475295, -2.0393592920933026, 2.2421676748579293, 1.6758445182024357, 1.3137091129019989])"
0.14300000000000002,"array('d', [-1.8091989751425654, 1.3989194853199396, -2.0395235265756892, 2.241204296928629, 1.6742595572648, 1.3151008696197468])"
0.14400000000000002,"array('d', [-1.8080022400477718, 1.3997346677670308, -2.0396895323580364, 2.240244946320023, 1.672687593411376, 1.3164888234483991])"
0.145,"array('d', [-1.8068075099053622, 1.4005443046489574, -2.039857398142839, 2.2392899012588012, 1.671128556059014, 1.317872969410449])"
0.146,"array('d', [-1.8056147825035789, 1.4013482876870944, -2.0400272128970767, 2.2383394408807282, 1.6695823819505378, 1.3192533044585448])"
0.147,"array('d', [-1.80442405483514, 1.4021465087719283, -2.0401990657827387, 2.2373938452193753, 1.6680490150359242, 1.3206298273820476])"
0.148,"array('d', [-1.8032353231944522, 1.4029388599747157, -2.0403730460835945, 2.2364533951852206, 1.6665284063461068, 1.3220025387129195])"
0.149,"array('d', [-1.8020485832753055, 1.4037252335629686, -2.040549243128237, 2.235518372534822, 1.6650205138588667, 1.3233714406308739])"
0.15,"array('d', [-1.8008638302690214, 1.4045055220198188, -2.040727746209449, 2.234589059829787, 1.6635253023563004, 1.3247365368677195])"
0.151,"array('d', [-1.7996810589630086, 1.405279618067306, -2.0409086444999494, 2.2336657403852653, 1.6620427432733815, 1.3260978326108404])"
0.152,"array('d', [-1.7985002638396714, 1.4060474146936268, -2.0410920269645945, 2.232748698207714, 1.6605728145371759, 1.3274553344057596])"
0.153,"array('d', [-1.797321439175609, 1.4068088051843728, -2.0412779822691176, 2.2318382179216947, 1.6591155003963036, 1.328809050057745])"
0.154,"array('d', [-1.796144579141026, 1.407563683157772, -2.0414665986855143, 2.230934584685491, 1.6576707912402944, 1.3301589885324208])"
0.155,"array('d', [-1.7949696778992703, 1.4083119426039432, -2.0416579639941865, 2.230038084095353, 1.656238683408523, 1.3315051598553644])"
0.156,"array('d', [-1.793796729706396, 1.4090534779281536, -2.0418521653829846, 2.229149002078206, 1.6548191789884776, 1.3328475750106752])"
0.157,"array('d', [-1.7926257290106429, 1.4097881839980635, -2.0420492893432987, 2.2282676247727, 1.6534122856031634, 1.3341862458385116])"
0.158,"array('d', [-1.7914566705517114, 1.4105159561949225, -2.042249421563364, 2.227394238398493, 1.652018016187511, 1.335521184931615])"
