time,fx,fy,fz,mx,my,mz,force_magnitude,torque_magnitude
0.366,0.7932922520398156,-0.5932059996805737,-4.992408396606227,-0.10309131532818991,-0.11578094142095262,0.001128134050111969,5.089729614990151,0.1550300563724769
0.367,0.8205628603741475,-0.6228438664149434,-4.977157758207549,-0.10639436336209832,-0.11812594591139318,0.0013812704482242901,5.082652579100968,0.1589824127403366
0.368,0.852633305311512,-0.6629853839954634,-4.92927864305585,-0.11076396043209064,-0.120448351132603,0.0018504934892398226,5.046218496419331,0.1636456065628353
0.369,0.8980846733609157,-0.7236466303826558,-4.813065427171373,-0.117202654627332,-0.12305735682473368,0.0027650579507201333,4.9493251390893995,0.16996241015546448
0.37,0.9864215610900607,-0.8339326272029851,-4.517221128149026,-0.1285943072496824,-0.12720247491585418,0.004829922151043954,4.69827179327601,0.18094279104106187
0.371,0.8558095847537917,-2.3232771922115383,-4.11731633051862,-0.36338096502247097,-0.1176585972805411,0.11860052766703372,4.804406386096216,0.3999441916287642
0.372,2.1381399173694122,-2.920641397761823,-0.44258240351731537,-0.42341055047563947,-0.17829383624567818,0.11695127567672908,3.646596723586497,0.4740704453767383
0.373,-0.6185407518011466,-1.0897915831684346,-7.845457859225421,-0.19348640461288596,0.008096751462123238,-0.011966012588839864,7.944900715381245,0.19402507985190237
0.374,0.8099280076278718,-1.904122214394647,-4.5850265811404265,-0.2532634114927275,-0.08995230271046245,0.004095920607688132,5.030321414646931,0.2687946222108504
0.375,-0.3484915489888649,-1.897673103181017,-7.256313360174464,-0.2626656283100483,-0.012942267861076013,0.007232784003322046,7.508441459271008,0.26308372765592897
0.376,0.36552452109454425,-2.011287126788069,-5.6773174122889625,-0.26280755278410994,-0.06203711450854576,0.00598373332802026,6.034137641932295,0.27009668350696203
0.377,-0.09826527335977832,-1.9951444154977631,-6.72515931912731,-0.26711183053042803,-0.03156252060538217,0.00897455472791054,7.015555941640355,0.2691197973929929
0.378,0.2246079969868249,-2.000038564201498,-6.021434416243403,-0.2625507312038351,-0.054147714288932274,0.007258277987079711,6.348879857086929,0.2681744656333299
0.379,0.04268782888367864,-1.974599411914254,-6.4375388729006096,-0.26234022338402596,-0.042619844471278305,0.008262242618073727,6.733704168462806,0.26590808299300817
0.38,0.190866737395138,-1.9616122497085704,-6.121605399798751,-0.25868265421744524,-0.05339477772092896,0.007334856319615036,6.43105010091632,0.26423761654631833
0.381,0.1254497940713838,-1.9369075103912714,-6.279314525117216,-0.25689882308687,-0.04971736779217159,0.007529001928307189,6.5724530625931985,0.26177377224167714
